116,212102,Penyuluh Kesmas Pertama ,31,32,56,Kesehatan,Ahli,Penyuluh Kesmas,9,10,19,2,0
117,212200,Penyuluh Kesmas Penyelia ,33,34,56,Kesehatan,Terampil,Penyuluh Kesmas,11,12,19,2,0
118,212201,Penyuluh Kesmas Pelaksana Lanjutan ,31,32,56,Kesehatan,Terampil,Penyuluh Kesmas,9,10,19,2,0
119,212202,Penyuluh Kesmas Pelaksana ,22,24,56,Kesehatan,Terampil,Penyuluh Kesmas,6,8,19,2,0
120,213200,Perekam Medis Penyelia,33,34,56,Kesehatan,Terampil,Perekam Medis,11,12,20,2,0
121,213201,Perekam Medis Pelaksana Lanjutan,31,32,56,Kesehatan,Terampil,Perekam Medis,9,10,20,2,0
122,213202,Perekam Medis Pelaksana,23,24,56,Kesehatan,Terampil,Perekam Medis,7,8,20,2,0
123,214100,Pranata Lab. Kesehatan Madya,41,43,56,Kesehatan,Ahli,Pranata Laboratorium Kesehatan,13,15,21,2,0
124,214101,Pranata Lab. Kesehatan Muda,33,34,56,Kesehatan,Ahli,Pranata Laboratorium Kesehatan,11,12,21,2,0
125,214102,Pranata Lab. Kesehatan Pertama,31,32,56,Kesehatan,Ahli,Pranata Laboratorium Kesehatan,9,10,21,2,0
126,214200,Pranata Lab. Kesehatan Penyelia,33,34,56,Kesehatan,Terampil,Pranata Laboratorium Kesehatan,11,12,21,2,0
127,214201,Pranata Lab. Kesehatan Pel. Lanjutan,31,32,56,Kesehatan,Terampil,Pranata Laboratorium Kesehatan,9,10,21,2,0
128,214202,Pranata Lab. Kesehatan Pelaksana,22,24,56,Kesehatan,Terampil,Pranata Laboratorium Kesehatan,6,8,21,2,0
129,214203,Pranata Lab. Kesehatan Pel. Pemula,21,21,56,Kesehatan,Terampil,Pranata Laboratorium Kesehatan,5,5,21,2,0
130,215200,Radiografer Penyelia,33,34,56,Kesehatan,Terampil,Radiografer,11,12,22,2,0
131,215201,Radiografer Pelaksana Lanjutan,31,32,56,Kesehatan,Terampil,Radiografer,9,10,22,2,0
132,215202,Radiografer Pelaksana Lanjutan,23,24,56,Kesehatan,Terampil,Radiografer,7,8,22,2,0
133,216100,Sanitarian Madya,41,43,56,Kesehatan,Ahli,Sanitarian,13,15,23,2,0
134,216101,Sanitarian Muda,33,34,56,Kesehatan,Ahli,Sanitarian,11,12,23,2,0
135,216102,Sanitarian Pertama,31,32,56,Kesehatan,Ahli,Sanitarian,9,10,23,2,0
